,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,spectral_type,index,temperature,radius,name,description,image,external_url,premium,price
0,0,0,,,,,Sol,0.0,0.0,0.0,0.0,0.0,0.0,-26.7,4.85,G2V,0.656,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,,1.0,,,,G,0,5401.192142701287,1.1531259157138714,HIP0 - Sol,Our main star.,https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip0.png,https://explorer.openstars.org/#view/hip-0,300,50.0
70666,70666,70890,,,Gl 551,,Proxima Centauri,14.495985,-62.679485,1.2959,-3775.64,768.16,-16.0,11.01,15.447,M5Ve,1.807,-0.472264,-0.361451,-1.151219,-1.186e-05,2.079e-05,1.675e-05,3.795039916831576,-1.09396338473328,-1.83048192485e-05,3.724144768e-06,,,Cen,1,70666,,5.77032135332e-05,V645,11.079,10.939,M,1,3304.1824278604618,0.02349939814095855,HIP70890 - Proxima Centauri,"HIP70890 - Proxima Centauri belongs to the Cen constellation. For more information, visit https://explorer.openstars.org/#view/hip-70890",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip70890.png,https://explorer.openstars.org/#view/hip-70890,300,0.18
71456,71456,71683,128620.0,5459.0,Gl 559A,Alp1Cen,Rigil Kentaurus,14.660765,-60.833976,1.3248,-3678.19,481.84,-26.2,-0.01,4.379,G2V,0.71,-0.495203,-0.414084,-1.156625,-7.22e-06,2.476e-05,2.491e-05,3.838179211777228,-1.0617531757704175,-1.78323683168e-05,2.336026238e-06,Alp-1,,Cen,1,71456,Gl 559,1.543121065657792,,0.113,-0.087,G,2,5224.566404789661,1.5306596772982002,HIP71683 - Rigil Kentaurus,"HIP71683 - Rigil Kentaurus belongs to the Cen constellation. For more information, visit https://explorer.openstars.org/#view/hip-71683",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip71683.png,https://explorer.openstars.org/#view/hip-71683,300,0.22
71453,71453,71681,128621.0,5460.0,Gl 559B,Alp2Cen,,14.660346,-60.8383,1.3248,-3678.19,481.84,-26.2,1.35,5.739,K1V,0.9,-0.495181,-0.413973,-1.156674,-7.22e-06,2.476e-05,2.491e-05,3.838069570777228,-1.0618286487704176,-1.78323683168e-05,2.336026238e-06,Alp-2,,Cen,2,71456,Gl 559,0.4409608164506375,,,,K,3,4702.224260019426,1.0106350181910821,HIP71681,"HIP71681 belongs to the Cen constellation. For more information, visit https://explorer.openstars.org/#view/hip-71681",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip71681.png,https://explorer.openstars.org/#view/hip-71681,0,0.11
87665,87665,87937,,,Gl 699,,Barnard's Star,17.963472,4.693388,1.8238,-797.84,9999.99,-111.0,9.54,13.235,M4V,1.57,-0.017373,-1.816613,0.149123,-5.91e-06,0.0001204,7.888e-05,4.702826031672147,0.0819150787324337,-3.8680374689e-06,5.0066369421e-05,,,Oph,1,87665,,0.0004425883723626,V2500,9.59,9.49,M,4,3564.1400030345985,0.055887463515701494,HIP87937 - Barnard's Star,"HIP87937 - Barnard's Star belongs to the Oph constellation. For more information, visit https://explorer.openstars.org/#view/hip-87937",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip87937.png,https://explorer.openstars.org/#view/hip-87937,300,0.19
53879,53879,54035,95735.0,,Gl 411,,Lalande 21185,11.055632,35.969877,2.5469,-580.2,-4767.09,-84.3,7.49,10.46,M2V,1.502,-1.998,0.504305,1.495504,3.587e-05,-1.66e-06,-9.828e-05,2.894357577221472,0.627792793335765,-2.8128889745e-06,-2.3111504484e-05,,,UMa,1,53879,,0.0057016427228074,,,,M,5,3648.591406731007,0.19121446226683997,HIP54035 - Lalande 21185,"HIP54035 - Lalande 21185 belongs to the UMa constellation. For more information, visit https://explorer.openstars.org/#view/hip-54035",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip54035.png,https://explorer.openstars.org/#view/hip-54035,300,0.2
32263,32263,32349,48915.0,2491.0,Gl 244A,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,9.53e-06,-1.207e-05,-1.221e-05,1.7677953696021995,-0.291751258517685,-2.6471311772e-06,-5.929659164e-06,Alp,9.0,CMa,1,32263,Gl 244,22.824433121735037,,-1.333,-1.523,A,6,10165.218090113261,1.553347292838398,HIP32349 - Sirius,"HIP32349 - Sirius belongs to the CMa constellation. For more information, visit https://explorer.openstars.org/#view/hip-32349",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip32349.png,https://explorer.openstars.org/#view/hip-32349,300,0.23
92115,92115,92403,,,Gl 729,,,18.830369,-23.836232,2.9698,637.55,-192.47,-12.1,10.37,13.006,M3.5Ve,1.51,0.585883,-2.652454,-1.200123,6.28e-06,1.413e-05,2.47e-06,4.929779029634179,-0.4160207358077875,3.0909296203e-06,-9.3312089e-07,,,Sgr,1,92115,,0.0005465123745198,V1216,10.408,10.338,M,7,3638.3962425580635,0.05958906374699394,HIP92403,"HIP92403 belongs to the Sgr constellation. For more information, visit https://explorer.openstars.org/#view/hip-92403",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip92403.png,https://explorer.openstars.org/#view/hip-92403,0,0.09
16496,16496,16537,22049.0,1084.0,Gl 144,18Eps Eri,,3.548848,-9.458262,3.2161,-976.44,17.97,16.9,3.72,6.183,K2V,0.881,1.89897,2.541426,-0.528523,2.243e-05,4.58e-06,-2.56e-06,0.9290861752463538,-0.1650778156910925,-4.7339147024e-06,8.7121018e-08,Eps,18.0,Eri,1,16496,,0.2929543829769431,Eps,3.735,3.715,K,8,4748.606174087634,0.807869376911431,HIP16537,"HIP16537 belongs to the Eri constellation. For more information, visit https://explorer.openstars.org/#view/hip-16537",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip16537.png,https://explorer.openstars.org/#view/hip-16537,0,0.11
113687,113687,114046,217987.0,,Gl 887,,Lacaille 9352,23.097531,-35.853073,3.2759,6767.26,1326.66,9.5,7.35,9.773,M2/M3V,1.483,2.581532,-0.621353,-1.918773,4.484e-05,9.974e-05,1.138e-05,6.046919538269939,-0.6257541624947276,3.28086022787e-05,6.431829174e-06,,,PsA,1,113687,,0.0107349493580523,,,,M,9,3673.0938583727107,0.2588183532909734,HIP114046 - Lacaille 9352,"HIP114046 - Lacaille 9352 belongs to the PsA constellation. For more information, visit https://explorer.openstars.org/#view/hip-114046",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip114046.png,https://explorer.openstars.org/#view/hip-114046,300,0.2
